Protein,Trend,State_0,State_1,State_2,State_3,State_4
SCGB1A1,Fluctuating,0.13214401863843464,0.11012492764554979,0.0,0.700819334857868,1.0
S100P,Gradually Increasing,0.0,0.4338074905089008,0.5960122003837091,0.9315552367637475,1.0
S100P,Fluctuating,0.0,0.4338074905089008,0.5960122003837091,0.9315552367637475,1.0
SAMD9L,Fluctuating,0.0,0.6401537566230564,1.0,0.8975772379921786,0.8766035571675217
SCG2,Fluctuating,0.1489471749634292,0.0,0.14865370685841298,0.8395115293305949,1.0
SCAMP3,"0-2 Increasing, 3-4 Decreasing",0.0,0.5714976402761286,0.7955581193168171,1.0,0.8340984281608979
SCARA5,Gradually Increasing,0.0,0.4693493361354138,0.6607818145683454,0.8963487677979572,1.0
SCARA5,Fluctuating,0.0,0.4693493361354138,0.6607818145683454,0.8963487677979572,1.0
SCARB1,Fluctuating,0.0,0.43027956031472053,1.0,0.0469014977638097,0.989748407292758
SCARB2,Gradually Increasing,0.0,0.5275882908776223,0.6987715879160885,0.8915418633876661,1.0
SCARB2,Fluctuating,0.0,0.5275882908776223,0.6987715879160885,0.8915418633876661,1.0
SCARF1,"0-2 Increasing, 3-4 Decreasing",0.0,0.6719961490054854,0.8167324087691911,1.0,0.9412274546107972
SCARF2,Gradually Increasing,0.0,0.2292921670665443,0.3378180951285599,0.7293291425482181,1.0
SCARF2,Fluctuating,0.0,0.2292921670665443,0.3378180951285599,0.7293291425482181,1.0
SDC1,Gradually Increasing,0.0,0.33615382677078726,0.5968300378737057,0.9178079262039172,1.0
SDC1,Fluctuating,0.0,0.33615382677078726,0.5968300378737057,0.9178079262039172,1.0
VPS53,"0-2 Increasing, 3-4 Decreasing",0.0,0.7319500022351384,1.0,0.9886286563570933,0.5385387490752322
VPS37A,Fluctuating,0.0,0.6778587466329178,1.0,0.9600932600033761,0.3578981090313172
VNN2,"0-2 Increasing, 3-4 Decreasing",0.0,0.39876177339859126,0.5805026631841615,1.0,0.9161278732115413
VSIR,"0-2 Increasing, 3-4 Decreasing",0.0,0.5269839658494673,0.7019449147824428,1.0,0.8047416710116083
VMO1,"0-2 Increasing, 3-4 Decreasing",0.0,0.4333623803294226,0.7271678509802281,1.0,0.958467787103947
VIM,Fluctuating,0.0,0.11424615874241095,0.4340645075624972,0.3541673295554256,1.0
VEGFD,Fluctuating,1.0,0.02749236468550482,0.0,0.7090295281457448,0.5841121549256642
VEGFC,"0-2 Increasing, 3-4 Decreasing",0.0,0.752994306898112,1.0,0.9923646095555192,0.47485436086955957
VSIG4,Gradually Increasing,0.0,0.5162339852671615,0.6911310799372689,0.9658256907694718,1.0
VSIG4,Fluctuating,0.0,0.5162339852671615,0.6911310799372689,0.9658256907694718,1.0
VWC2,Fluctuating,0.0,0.7271981892712448,0.9076492196940124,0.8636411167575833,1.0
WASF3,Fluctuating,0.7601955928579295,0.8118812515173333,1.0,0.2781745446052207,0.0
WASF1,"0-2 Increasing, 3-4 Decreasing",0.06168615299430751,0.8869863138903706,0.934319457609716,1.0,0.0
WAS,Fluctuating,0.5858550980683762,0.752272730135201,1.0,0.0,0.5837266032542832
WARS,Fluctuating,0.0,0.679280194419564,1.0,0.823884715108807,0.960607193896903
VWF,Gradually Increasing,0.0,0.45493857839305957,0.6649339223745738,0.8708811653526243,1.0
VWF,Fluctuating,0.0,0.45493857839305957,0.6649339223745738,0.8708811653526243,1.0
VWA1,Fluctuating,0.0,0.7060346371042632,1.0,0.9666028614233881,0.9706837087470231
VTCN1,Fluctuating,0.7421417562722222,0.0,0.18365217454363542,0.782531929426016,1.0
VTA1,"0-2 Increasing, 3-4 Decreasing",0.4260460621706923,0.625110225114613,0.8204554073385462,1.0,0.0
VSTM2L,"0-2 Increasing, 3-4 Decreasing",0.0,0.48633884806098915,0.5947517871947483,1.0,0.8789409754364563
VSTM1,Gradually Increasing,0.0,0.6202737661970431,0.6527776262456023,0.8550801526147461,1.0
VSTM1,Fluctuating,0.0,0.6202737661970431,0.6527776262456023,0.8550801526147461,1.0
VEGFA,Gradually Increasing,0.0,0.5433687845762675,0.7015135010176962,0.8886442714579548,1.0
VEGFA,Fluctuating,0.0,0.5433687845762675,0.7015135010176962,0.8886442714579548,1.0
UMOD,Gradually Decreasing,1.0,0.643799843762129,0.4991721140048254,0.07998945468853284,0.0
